epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2341.24,1.00421,0.48644,1.45478,0.91918,0.93394,0.93453,0.73886,0.98851,0.52296,1.6543,0.005743,0.005743,0.005743
45,2393.06,1.00263,0.48659,1.45141,0.92286,0.93371,0.93596,0.73958,0.994,0.5237,1.65893,0.005644,0.005644,0.005644
46,2445.1,0.99426,0.48147,1.43906,0.92433,0.9348,0.9344,0.74584,0.97125,0.5252,1.63142,0.005545,0.005545,0.005545
47,2497.79,0.99127,0.485,1.4438,0.92231,0.93523,0.9365,0.74626,0.97034,0.52023,1.63651,0.005446,0.005446,0.005446
48,2549.52,0.98045,0.47891,1.43434,0.92226,0.93479,0.93428,0.74743,0.96854,0.53083,1.63142,0.005347,0.005347,0.005347
49,2602.14,0.97607,0.47714,1.43018,0.92222,0.93882,0.93854,0.75034,0.96315,0.52408,1.621,0.005248,0.005248,0.005248
50,2654.15,0.97162,0.47451,1.42986,0.92158,0.93801,0.93501,0.75405,0.9422,0.52129,1.60197,0.005149,0.005149,0.005149
51,2705.71,0.9659,0.47277,1.41662,0.92217,0.93759,0.9356,0.75271,0.94961,0.52885,1.61952,0.00505,0.00505,0.00505
52,2757.48,0.95568,0.47007,1.40947,0.91932,0.9362,0.93652,0.75716,0.92455,0.50925,1.58076,0.004951,0.004951,0.004951
53,2809.17,0.96409,0.47516,1.41597,0.91987,0.93834,0.9358,0.75721,0.92589,0.50378,1.58209,0.004852,0.004852,0.004852
54,2859.94,0.94906,0.47389,1.40541,0.92194,0.93449,0.93588,0.75467,0.94649,0.50921,1.60647,0.004753,0.004753,0.004753
55,2910.79,0.94346,0.46716,1.40128,0.92041,0.93923,0.93455,0.7568,0.92604,0.51405,1.58202,0.004654,0.004654,0.004654
56,2961.31,0.94183,0.46413,1.39473,0.92207,0.93661,0.93807,0.76605,0.91373,0.50068,1.56818,0.004555,0.004555,0.004555
57,3011.7,0.94068,0.46538,1.39391,0.92139,0.93781,0.93525,0.75842,0.92232,0.50646,1.58386,0.004456,0.004456,0.004456
58,3062.05,0.93355,0.46506,1.39145,0.92222,0.93734,0.93516,0.76744,0.89566,0.4965,1.54965,0.004357,0.004357,0.004357
59,3112.69,0.92164,0.45895,1.38056,0.92499,0.93311,0.93577,0.76197,0.9184,0.50453,1.57952,0.004258,0.004258,0.004258
60,3163.44,0.91855,0.45914,1.37753,0.92242,0.93901,0.93656,0.76981,0.8944,0.49955,1.54674,0.004159,0.004159,0.004159
61,3214.07,0.90859,0.45559,1.37293,0.92469,0.93732,0.93745,0.77423,0.8894,0.50063,1.54298,0.00406,0.00406,0.00406
62,3264.61,0.91252,0.45837,1.37149,0.92268,0.93903,0.9379,0.77674,0.86715,0.48874,1.5146,0.003961,0.003961,0.003961
63,3315.85,0.90489,0.45527,1.3609,0.92282,0.93798,0.93749,0.77504,0.87838,0.49959,1.5349,0.003862,0.003862,0.003862
64,3366.32,0.89595,0.45021,1.35761,0.92343,0.93876,0.93864,0.77976,0.86801,0.49896,1.51932,0.003763,0.003763,0.003763
65,3416.71,0.89873,0.45092,1.35505,0.92356,0.93897,0.93827,0.7745,0.87653,0.50551,1.53374,0.003664,0.003664,0.003664
66,3467.33,0.89266,0.4463,1.35534,0.92284,0.94051,0.9379,0.77808,0.86285,0.49031,1.51547,0.003565,0.003565,0.003565
67,3517.89,0.88256,0.44225,1.34415,0.92353,0.93889,0.93842,0.78298,0.85053,0.48718,1.49639,0.003466,0.003466,0.003466
68,3568.42,0.88456,0.44693,1.3376,0.92171,0.94037,0.93875,0.78459,0.84651,0.48962,1.49052,0.003367,0.003367,0.003367
69,3618.62,0.8721,0.43851,1.33411,0.92247,0.9385,0.93669,0.77772,0.85514,0.49367,1.50549,0.003268,0.003268,0.003268
70,3668.9,0.87082,0.43666,1.33228,0.92228,0.93862,0.93635,0.783,0.84241,0.48993,1.48669,0.003169,0.003169,0.003169
71,3719.46,0.86581,0.43858,1.3273,0.92354,0.93859,0.93627,0.78084,0.85077,0.48971,1.50927,0.00307,0.00307,0.00307
72,3770.14,0.86935,0.44278,1.33198,0.92121,0.94005,0.9389,0.79048,0.82599,0.48807,1.47049,0.002971,0.002971,0.002971
73,3820.51,0.86025,0.43861,1.32921,0.92277,0.94011,0.93784,0.79395,0.80977,0.48657,1.45124,0.002872,0.002872,0.002872
74,3871.49,0.85356,0.43401,1.31384,0.92169,0.94134,0.93933,0.79259,0.82039,0.47615,1.46393,0.002773,0.002773,0.002773
75,3922.12,0.85054,0.4351,1.31317,0.92293,0.9403,0.93764,0.79225,0.80676,0.48048,1.4486,0.002674,0.002674,0.002674
76,3972.54,0.85322,0.43483,1.31492,0.92506,0.93719,0.93788,0.79094,0.8156,0.48231,1.45888,0.002575,0.002575,0.002575
77,4022.75,0.84546,0.43247,1.3116,0.92587,0.9387,0.93754,0.79149,0.81528,0.47964,1.45982,0.002476,0.002476,0.002476
78,4073.3,0.84475,0.43696,1.308,0.92602,0.93789,0.93785,0.79741,0.8003,0.48317,1.44009,0.002377,0.002377,0.002377
79,4123.53,0.83207,0.42615,1.29623,0.92506,0.93917,0.93837,0.79683,0.79816,0.477,1.43904,0.002278,0.002278,0.002278
80,4174.24,0.83294,0.42624,1.30302,0.92297,0.94008,0.93989,0.79843,0.80069,0.47999,1.44026,0.002179,0.002179,0.002179
81,4224.3,0.83146,0.43019,1.29324,0.92381,0.93946,0.93897,0.79766,0.79414,0.47417,1.43173,0.00208,0.00208,0.00208
82,4274.49,0.83292,0.43239,1.29608,0.92355,0.94072,0.93873,0.80171,0.77934,0.46977,1.41331,0.001981,0.001981,0.001981
83,4325.04,0.82595,0.42153,1.29072,0.9245,0.93938,0.93993,0.80197,0.78219,0.471,1.41761,0.001882,0.001882,0.001882
84,4375.5,0.82517,0.43048,1.29338,0.92447,0.93876,0.93907,0.80341,0.78103,0.47657,1.41564,0.001783,0.001783,0.001783
85,4426.29,0.81491,0.42282,1.28362,0.92202,0.94107,0.93889,0.80278,0.77905,0.4719,1.41252,0.001684,0.001684,0.001684
86,4476.95,0.81309,0.4194,1.27818,0.92406,0.94014,0.93965,0.80557,0.77254,0.47189,1.40606,0.001585,0.001585,0.001585
87,4527.34,0.8095,0.41975,1.27832,0.92233,0.93952,0.93904,0.8039,0.77299,0.47325,1.40825,0.001486,0.001486,0.001486
88,4577.47,0.80736,0.42688,1.27838,0.92286,0.94039,0.93917,0.80837,0.76115,0.47455,1.39504,0.001387,0.001387,0.001387
89,4627.9,0.8073,0.41914,1.27292,0.92198,0.94104,0.93766,0.80574,0.76573,0.46894,1.39968,0.001288,0.001288,0.001288
90,4678.16,0.79996,0.41197,1.26846,0.92209,0.94202,0.93805,0.8034,0.77287,0.47573,1.41058,0.001189,0.001189,0.001189
91,4729.85,0.6903,0.3634,1.25055,0.9225,0.94135,0.93902,0.81485,0.74662,0.46805,1.37359,0.00109,0.00109,0.00109
92,4779.71,0.65693,0.34952,1.21693,0.92324,0.94052,0.93845,0.81475,0.74236,0.46639,1.37241,0.000991,0.000991,0.000991
93,4829.42,0.64582,0.34675,1.20187,0.92252,0.94091,0.93855,0.81635,0.73343,0.46503,1.36364,0.000892,0.000892,0.000892
94,4879.12,0.63491,0.34306,1.19306,0.92298,0.94109,0.93841,0.81851,0.72767,0.46024,1.36007,0.000793,0.000793,0.000793
95,4928.95,0.63083,0.34203,1.1893,0.92165,0.94242,0.93885,0.82077,0.722,0.46003,1.35386,0.000694,0.000694,0.000694
96,4978.86,0.62221,0.33971,1.18349,0.9237,0.94007,0.93923,0.82349,0.71551,0.45665,1.34737,0.000595,0.000595,0.000595
97,5028.61,0.61696,0.33773,1.17992,0.92284,0.94077,0.93921,0.82413,0.71017,0.45568,1.3418,0.000496,0.000496,0.000496
98,5078.39,0.61585,0.33658,1.17185,0.92379,0.94088,0.9393,0.82472,0.70576,0.45497,1.33689,0.000397,0.000397,0.000397
99,5127.97,0.61004,0.33472,1.16545,0.92346,0.94104,0.9391,0.82579,0.7017,0.45229,1.33224,0.000298,0.000298,0.000298
100,5177.57,0.60283,0.33324,1.16473,0.92327,0.94088,0.93836,0.82531,0.69936,0.45219,1.32982,0.000199,0.000199,0.000199
